product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
Vision Express 81133 Black Grey Rectangle Sunglasses 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/915078/vision_express_81133_black_grey_rectangle_sunglasses_1s_0_0.jpg,https://www.netmeds.com/non-prescriptions/vision-express-81133-black-grey-rectangle-sunglasses-1s,"Rs. 1,124.25","Rs. 1,499.00",25% OFF,True
Vision Express Kids 51116 Red Grey Wrap Sunglasses 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/915073/vision_express_kids_51116_red_grey_wrap_sunglasses_1s_0_0.jpg,https://www.netmeds.com/non-prescriptions/vision-express-kids-51116-red-grey-wrap-sunglasses-1s,Rs. 559.20,Rs. 699.00,20% OFF,True
Vision Express Kids 51103 Black Grey Solid Rectangle Sunglasses 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/915072/vision_express_kids_51103_black_grey_solid_rectangle_sunglasses_1s_0_0.jpg,https://www.netmeds.com/non-prescriptions/vision-express-kids-51103-black-grey-solid-rectangle-sunglasses-1s,Rs. 559.20,Rs. 699.00,20% OFF,True
Vision Express Kids 51111 Pink Grey Round Sunglasses 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/915075/vision_express_kids_51111_pink_grey_round_sunglasses_1s_0_0.jpg,https://www.netmeds.com/non-prescriptions/vision-express-kids-51111-pink-grey-round-sunglasses-1s,Rs. 559.20,Rs. 699.00,20% OFF,True
Vision Express Kids 51117 Multi Color Grey Rectangle Sunglasses 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/915074/vision_express_kids_51117_multi_color_grey_rectangle_sunglasses_1s_0_0.jpg,https://www.netmeds.com/non-prescriptions/vision-express-kids-51117-multi-color-grey-rectangle-sunglasses-1s,Rs. 559.20,Rs. 699.00,20% OFF,True
Vision Express 29389 Red Round Eyeglasses (Including UV Blue Lens) 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/915101/vision_express_29389_red_round_eyeglasses_including_uv_blue_lens_1s_0_0.jpg,https://www.netmeds.com/non-prescriptions/vision-express-29389-red-round-eyeglasses-including-uv-blue-lens-1s,"Rs. 1,994.43","Rs. 3,499.00",43% OFF,True
Vision Express 28975 Black Rectangle Eyeglasses (Including UV Blue Lens) 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/915100/vision_express_28975_black_rectangle_eyeglasses_including_uv_blue_lens_1s_0_0.jpg,https://www.netmeds.com/non-prescriptions/vision-express-28975-black-rectangle-eyeglasses-including-uv-blue-lens-1s,"Rs. 1,994.43","Rs. 3,499.00",43% OFF,True
Vision Express 29487 Black Rectangle Eyeglasses (Including UV Blue Lens) 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/915103/vision_express_29487_black_rectangle_eyeglasses_including_uv_blue_lens_1s_0_0.jpg,https://www.netmeds.com/non-prescriptions/vision-express-29487-black-rectangle-eyeglasses-including-uv-blue-lens-1s,"Rs. 1,994.43","Rs. 3,499.00",43% OFF,True
Vision Express 12040 Black Round Eyeglasses (Including Anti-Reflective Coating Lens) 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/915097/vision_express_12040_black_round_eyeglasses_including_anti_reflective_coating_lens_1s_0_1.jpg,https://www.netmeds.com/non-prescriptions/vision-express-12040-black-round-eyeglasses-including-anti-reflective-coating-lens-1s,"Rs. 1,099.50","Rs. 2,199.00",50% OFF,True
Vision Express 12040 Brown Round Eyeglasses (Including Anti-Reflective Coating Lens) 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/915096/vision_express_12040_brown_round_eyeglasses_including_anti_reflective_coating_lens_1s_0_1.jpg,https://www.netmeds.com/non-prescriptions/vision-express-12040-brown-round-eyeglasses-including-anti-reflective-coating-lens-1s,"Rs. 1,099.50","Rs. 2,199.00",50% OFF,True
Vision Express 29167 Black Oval Eyeglasses (Including UV Blue Lens) 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/915098/vision_express_29167_black_oval_eyeglasses_including_uv_blue_lens_1s_0_0.jpg,https://www.netmeds.com/non-prescriptions/vision-express-29167-black-oval-eyeglasses-including-uv-blue-lens-1s,"Rs. 1,994.43","Rs. 3,499.00",43% OFF,True
