product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
Setu Alpha Lipoic Acid Tablet 30's,Mfr: Setu,https://www.netmeds.com/images/product-v1/150x150/894243/setu_alpha_lipoic_acid_tablet_30s_0_0.jpg,https://www.netmeds.com/non-prescriptions/setu-alpha-lipoic-acid-tablet-30-s,Rs. 400.00,None,None,True
Setu Triple Strength Fish Oil 1200 mg Softgels 60's,Mfr: Setu,https://www.netmeds.com/images/product-v1/150x150/914424/setu_triple_strength_fish_oil_1200_mg_soft_gel_capsules_60s_0_1.jpg,https://www.netmeds.com/non-prescriptions/setu-triple-strength-fish-oil-60s,"Rs. 1,000.00",None,None,True
Setu Alpha Lipoic Acid 300 mg Veg Tablet 10's,Mfr: Setu,https://www.netmeds.com/images/product-v1/150x150/903600/setu_alpha_lipoic_acid_300_mg_veg_tablet_10s_1_0.jpg,https://www.netmeds.com/non-prescriptions/setu-alpha-lipoic-acid-300-mg-tablet-10s,Rs. 175.00,None,None,True
Dabur Chyawanprakash Sugarfree 500 gm,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/411206/dabur_chyawanprakash_sugarfree_500_gm_0.jpg,https://www.netmeds.com/non-prescriptions/dabur-chyawanprakash-sugarfree-powder-500gm,Rs. 210.00,None,None,True
Pediasure Nutrition Powder - Premium Chocolate Flavour 1 kg (Refill Pack),Mfr: Abbott Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/412417/pediasure_nutrition_powder_premium_chocolate_flavour_1_kg_refill_pack_0_1.jpg,https://www.netmeds.com/non-prescriptions/pediasure-premium-chocolate-flavour-powder-refill-1kg,"Rs. 1,165.60","Rs. 1,240.00",6% OFF,True
Fast&Up Promega Omega 3 Rich Fish Oil 1250 mg Softgel 60's,Mfr: Aeronutrix Sports Products Private Limited,https://www.netmeds.com/images/product-v1/150x150/839440/fast_up_promega_omega_3_rich_fish_oil_softgel_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/fast-up-promega-omega-3-rich-fish-oil-supplements-60-s,Rs. 564.30,Rs. 990.00,43% OFF,True
Pediasure 7Plus Health Drink Powder - Chocolate Flavour 400 gm (Refill Pack),Mfr: Abbott Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/905162/pediasure_7plus_health_drink_powder_chocolate_flavour_400_gm_refill_pack_0_0.jpg,https://www.netmeds.com/non-prescriptions/pediasure-7plus-health-drink-bib-chocolate-flavour-400-gm,Rs. 375.25,Rs. 395.00,5% OFF,True
GNC Total Lean Burn 60 Cinnamon Flavored Tablet 60's,Mfr: Guardian Healthcare,https://www.netmeds.com/images/product-v1/150x150/813850/gnc_total_lean_burn_60_cinnamon_flavored_tablet_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/gnc-burn-caplet-60-s,"Rs. 2,651.22","Rs. 3,399.00",22% OFF,True
Dabur Honey 50 gm,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/12729/dabur_honey_50_gm_0.jpg,https://www.netmeds.com/non-prescriptions/dabur-honey-50-gm,Rs. 37.00,None,None,True
Dabur Honey 100 gm,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/12743/dabur_honey_100_gm_0_2.jpg,https://www.netmeds.com/non-prescriptions/dabur-honey-100g,Rs. 62.00,None,None,True
