product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
Invigra Max Pleasure Condoms 3's,Mfr: Leads Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/884768/invigra_max_pleasure_condoms_3_s_0.jpg,https://www.netmeds.com/non-prescriptions/invigra-max-pleasure-condoms-3-s,Rs. 20.00,Rs. 25.00,20% OFF,True
K2 Condoms - Vanilla 3's,Mfr: KWOT Healthcare Private Limited,https://www.netmeds.com/images/product-v1/150x150/907774/k2_condoms_vanilla_3s_0_1.jpg,https://www.netmeds.com/non-prescriptions/k2-condoms-vanilla-3s,Rs. 29.10,Rs. 30.00,3% OFF,True
K2 Condoms - Banana 3's,Mfr: KWOT Healthcare Private Limited,https://www.netmeds.com/images/product-v1/150x150/907771/k2_condoms_banana_3s_0_1.jpg,https://www.netmeds.com/non-prescriptions/k2-condoms-banana-3s,Rs. 29.10,Rs. 30.00,3% OFF,True
Durex Condoms - Extra Thin 10's,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/822655/durex_condoms_extra_thin_10s_0_2.jpg,https://www.netmeds.com/non-prescriptions/durex-condoms-extra-thin-10-s,Rs. 195.30,Rs. 217.00,10% OFF,True
Dabur Shilajit Capsule 30's,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/15918/dabur_shilajit_capsule_30_s_0.jpg,https://www.netmeds.com/non-prescriptions/shilajit-capsule-30-s,Rs. 193.05,Rs. 195.00,1% OFF,True
Durex Play Intimate Lube - Stimulating 200 ml,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/15141/durex_play_intimate_lube_stimulating_200_ml_0_2.jpg,https://www.netmeds.com/non-prescriptions/durex-play-massage-2-in-1-stimulating-intimate-lube-200ml,Rs. 552.50,Rs. 650.00,15% OFF,True
Durex Play Pleasure Gel - Saucy Strawberry 50 ml,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/113806/durex_play_pleasure_gel_saucy_strawberry_50_ml_0_2.jpg,https://www.netmeds.com/non-prescriptions/durex-play-saucy-strawberry-flavour-50ml,Rs. 424.15,Rs. 499.00,15% OFF,True
Durex Play Pleasure Gel - Cheeky Cherry 50 ml,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/409069/durex_play_pleasure_gel_cheeky_cherry_50_ml_0_2.jpg,https://www.netmeds.com/non-prescriptions/durex-play-cheeky-cherry-pleasure-gel-50ml,Rs. 403.75,Rs. 475.00,15% OFF,True
Durex Play Pleasure Gel - Tingling 50 ml,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/412370/durex_play_pleasure_gel_tingling_50_ml_0_2.jpg,https://www.netmeds.com/non-prescriptions/durex-play-tingling-pleasure-gel-50ml,Rs. 403.75,Rs. 475.00,15% OFF,True
Durex Condoms - Air 10's,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/803748/durex_condoms_air_10s_0_2.jpg,https://www.netmeds.com/non-prescriptions/durex-air-condom-10-s,Rs. 195.30,Rs. 217.00,10% OFF,True
